Source,,,,,Bronze Layer,,,,,,Silver 1,,,,,,,,,,
Source System,File/Table Name,Source Field Name,Data Type,Data Length,Schema Name,Table Name,Field Name,Data Type,Data Length,Transformation Rules,Schema Name,Table Name,Proposed Table Name,Physical Field NM,Physical Field NM (Temp),Logical Field Name,Data Type,Data Length,Business Rule,SQL Command,Transformation Rule
RLS,LFPPMLB,LTBPRM,numeric,"15, 2",BRZ_RLS,LFPPMLB,LTBPRM,number,"15, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,TOT_BASIC_MODAL_REG_PREMI_CCY_CD,,TOT BASIC MD REG PRM EXC T/U INC SEGM PCCY,number,"15, 2",,,
RLS,LFPPMLB,PMCOMM,numeric,"13, 2",BRZ_RLS,LFPPMLB,PMCOMM,number,"13, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,MODAL_COMM_AMT,,MODAL COMM EXCLUDE TOP-UP REGULAR,number,"13, 2",,,
RLS,LFPPMLB,PMTHOD,nvarchar,1,BRZ_RLS,LFPPMLB,PMTHOD,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,PYMT_MTHD_CD,,PAYMENT METHOD,varchar,,,,
RLS,LFPPMLB,PATPDT,numeric,"2, 0",BRZ_RLS,LFPPMLB,PATPDT,number,"2, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,AUTO_PYMT_DAY,,AUTOPAY/CCP DAY,number,"2, 0",,,
RLS,LFPPMLB,PFACTR,numeric,"7, 0",BRZ_RLS,LFPPMLB,PFACTR,number,"7, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,POLICY_FACTOR,,POLICY FACTOR,number,"7, 0",,,
RLS,LFPPMLB,PCCY,nvarchar,3,BRZ_RLS,LFPPMLB,PCCY,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,CCY_CD,,CURRENCY,varchar,,,,
RLS,LFPPMLB,PCSCD,nvarchar,3,BRZ_RLS,LFPPMLB,PCSCD,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,POLICY_LOC,,LOCATION OF POLICY,varchar,,,,
RLS,LFPPMLB,PLINTD,numeric,"8, 0",BRZ_RLS,LFPPMLB,PLINTD,number,"8, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,LAST_INTEREST_DT,,LAST INTEREST DATE,number,"8, 0",,,"TO_DATE(PLINTD::VARCHAR, 'YYYYMMDD')"
RLS,LFPPMLB,PAGT1,numeric,"14, 0",BRZ_RLS,LFPPMLB,PAGT1,number,"14, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,AGENT1_CD,,AGENT 1 CODE,number,"14, 0",,,
RLS,LFPPMLB,PAGT2,numeric,"14, 0",BRZ_RLS,LFPPMLB,PAGT2,number,"14, 0",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,AGENT2_CD,,AGENT 2 CODE,number,"14, 0",,,
RLS,LFPPMLB,PASIGC,nvarchar,1,BRZ_RLS,LFPPMLB,PASIGC,varchar,,Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,ASSIGNED_COMM,,ASSIGNED COMM,varchar,,,,
RLS,LFPPMLB,PAGTC1,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC1,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR01_COMM_PCT,,1ST YR COMM % ON BASIC,number,"5, 2",,,
RLS,LFPPMLB,PAGTC2,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC2,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR02_COMM_PCT,,2ND YR COMM % ON BASIC,number,"5, 2",,,
RLS,LFPPMLB,PAGTC3,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC3,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR03_COMM_PCT,,3RD YR COMM % ON BASIC,number,"5, 2",,,
RLS,LFPPMLB,PAGTC4,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC4,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR04_COMM_PCT,,4TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC5,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC5,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR05_COMM_PCT,,5TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC6,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC6,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR06_COMM_PCT,,6TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC7,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC7,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR07_COMM_PCT,,7TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC8,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC8,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR08_COMM_PCT,,8TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
RLS,LFPPMLB,PAGTC9,numeric,"5, 2",BRZ_RLS,LFPPMLB,PAGTC9,number,"5, 2",Direct,SLV_RLS,LFPPMLB,MASTER_POLICY_LIFE,YR09_COMM_PCT,,9TH YEAR       COMM % ON BASIC PREMIUM,number,"5, 2",,,
